C2LoUyrEktj1EsTz17rdknoFIKBS    I35Pq2kftl3 Weighting value: {'letters': 31, 'digits': 8, 'space': 4, 'other': 0}
h3fciZJ   zAapnhgr0J1N1WOW2YQ2lBl Weighting value: {'letters': 24, 'digits': 6, 'space': 3, 'other': 0}
wKdj1IjaM9N Weighting value: {'letters': 9, 'digits': 2, 'space': 0, 'other': 0}
1PI0VW    eQHy93 Weighting value: {'letters': 8, 'digits': 4, 'space': 4, 'other': 0}
F1xgzXHC7uUVCMFrstWvdq    bZSUxqpNm1u24qq25e Weighting value: {'letters': 33, 'digits': 7, 'space': 4, 'other': 0}
J42MJB6wjV3qiHS     KjMg6mWVjbDxDULkuC Weighting value: {'letters': 28, 'digits': 5, 'space': 5, 'other': 0}
ckkiQHKJzESZ2WOgye9A2QLL0J1Rq4wRD5hsDmcWTA  e Weighting value: {'letters': 36, 'digits': 7, 'space': 2, 'other': 0}
VhvMwYUHmneHLu1e Weighting value: {'letters': 15, 'digits': 1, 'space': 0, 'other': 0}
1HuetMwXo9AW09Xwk Weighting value: {'letters': 13, 'digits': 4, 'space': 0, 'other': 0}
fSqAH7zbOJUD7BDshTAV3eZKwrGZdtm2BHWnXC8Hkp9 Weighting value: {'letters': 37, 'digits': 6, 'space': 0, 'other': 0}
Xx3lOJAYRZmh Weighting value: {'letters': 11, 'digits': 1, 'space': 0, 'other': 0}
F3u     Jo3Z    IBmFRr Weighting value: {'letters': 11, 'digits': 2, 'space': 9, 'other': 0}
r6pQrjNGHVIl4C58wkUGkz Weighting value: {'letters': 18, 'digits': 4, 'space': 0, 'other': 0}
SOCw4KBVBxwF6WTfqj   qO     2OI6bafIyjzWgo1e7 Weighting value: {'letters': 31, 'digits': 6, 'space': 8, 'other': 0}
Ps8wwRo    bHupK5gU2nAXtRFV Weighting value: {'letters': 20, 'digits': 3, 'space': 4, 'other': 0}
wPTer8gZg3glgmAIlTKh0jg6p6s4xekCr Weighting value: {'letters': 27, 'digits': 6, 'space': 0, 'other': 0}
U1V   qbq8tnwgXPQ6m   7cpcPmvURoKVgl Weighting value: {'letters': 26, 'digits': 4, 'space': 6, 'other': 0}
bs     Ot9f7j810NyBq Weighting value: {'letters': 10, 'digits': 5, 'space': 5, 'other': 0}
lL349r2rxGrOBW7esTsyPk5VNGZV74zKZEkBgCVj56iTD Weighting value: {'letters': 35, 'digits': 10, 'space': 0, 'other': 0}
ncp1qNZNlum   I4 Weighting value: {'letters': 11, 'digits': 2, 'space': 3, 'other': 0}
SYqSnTnjMV3OL1   cChau7V     C     X33y33 Weighting value: {'letters': 21, 'digits': 7, 'space': 13, 'other': 0}
CgmBb9EpHCB514JfPNqgVSq8WNQJPgl8K6 Weighting value: {'letters': 27, 'digits': 7, 'space': 0, 'other': 0}
OIkoNobINljY2GQjatZW9P2YMta0dXqfP88pTaAQ Weighting value: {'letters': 34, 'digits': 6, 'space': 0, 'other': 0}
U9o1cY8ZzqDnji7RA7GvN Weighting value: {'letters': 16, 'digits': 5, 'space': 0, 'other': 0}
e0ApncKZimJZyKj3BbQZ1n80FQtACDb Weighting value: {'letters': 26, 'digits': 5, 'space': 0, 'other': 0}
YiRwFWu   6y98ZdmW Weighting value: {'letters': 12, 'digits': 3, 'space': 3, 'other': 0}
UxZ4   De7q4Ctp2qHuvIkDlK Weighting value: {'letters': 18, 'digits': 4, 'space': 3, 'other': 0}
1msARF     K0xjgivL6vtcQeTzXMl4wUIUV2     PQD Weighting value: {'letters': 30, 'digits': 5, 'space': 10, 'other': 0}
46K6AtDlcZLTPU28BAHyjYOgL Weighting value: {'letters': 20, 'digits': 5, 'space': 0, 'other': 0}
NluVAxKJyabo6r5ip1M4Tw0MuU7ti Weighting value: {'letters': 23, 'digits': 6, 'space': 0, 'other': 0}
5p9r6CrfhMAyv Weighting value: {'letters': 10, 'digits': 3, 'space': 0, 'other': 0}
4YaLUMncKGLryMFgJuYagNLWjsv3RBRmJ84C     JQ Weighting value: {'letters': 34, 'digits': 4, 'space': 5, 'other': 0}
6djm078I0ClTDWMTeZ    IA   sIASQtI Weighting value: {'letters': 22, 'digits': 5, 'space': 7, 'other': 0}
flqx3PARGuxVdAA7GIA   JxRnCyfifIXlX7H9TL287o Weighting value: {'letters': 34, 'digits': 7, 'space': 3, 'other': 0}
caEQrNpMTS     c3Rm   mfh7hNIqRM2yanQhP3nQvlo Weighting value: {'letters': 33, 'digits': 4, 'space': 8, 'other': 0}
taL9JEbL4hDjoKHNVhaGqqTGnfJ Weighting value: {'letters': 25, 'digits': 2, 'space': 0, 'other': 0}
1EXSiTVW1wCxcDwcHng7KNbAg9c1cb Weighting value: {'letters': 25, 'digits': 5, 'space': 0, 'other': 0}
8XESxvtUfH     DjEilz2n5    Yv79W Weighting value: {'letters': 19, 'digits': 5, 'space': 9, 'other': 0}
nHE3cDwEff88OwvI8U8PBWBh     JMdY Weighting value: {'letters': 23, 'digits': 5, 'space': 5, 'other': 0}
duBkjifkBnA1bqeQFIv4CQ    An5 Weighting value: {'letters': 22, 'digits': 3, 'space': 4, 'other': 0}
sPVOoAXEACodnfyjB1Oe Weighting value: {'letters': 19, 'digits': 1, 'space': 0, 'other': 0}
2DKO2XcNeL4cVy2FHuszcJqEYrt0kMfnUOi2q Weighting value: {'letters': 31, 'digits': 6, 'space': 0, 'other': 0}
iRNilHP    vZiNSfZHumD     MlDopiDPUHnQcvnWQ9 Weighting value: {'letters': 35, 'digits': 1, 'space': 9, 'other': 0}
oJmg6kufGNx4Cjf58wyg70Ri8ZRY3sfmrGGnT Weighting value: {'letters': 29, 'digits': 8, 'space': 0, 'other': 0}
rCi22X9h0idy     At Weighting value: {'letters': 10, 'digits': 4, 'space': 5, 'other': 0}
bpxD3tIkKX8pHquVHT7o0t9mBCNSqZzErHErOgKbjWCN Weighting value: {'letters': 39, 'digits': 5, 'space': 0, 'other': 0}
5ncnNyIjPzGsOEecxAhszR7V1Ou7RmnWjGrjF Weighting value: {'letters': 33, 'digits': 4, 'space': 0, 'other': 0}
Wu1PT8DIC7     bEnF   MLQ Weighting value: {'letters': 14, 'digits': 3, 'space': 8, 'other': 0}
ZgQKtEAqNLrK5O2ZnxbELlWKwKN Weighting value: {'letters': 25, 'digits': 2, 'space': 0, 'other': 0}
hYX   WsCIiNBE1KM9lQ9GHcD9yquPOWX Weighting value: {'letters': 26, 'digits': 4, 'space': 3, 'other': 0}
wHMKNXI4   p3wlrGWarzdWFinOs9qtSd5YeV     c Weighting value: {'letters': 31, 'digits': 4, 'space': 8, 'other': 0}
Kuc44aUbul5yqM2vKwnC0Lw0fgGmye Weighting value: {'letters': 24, 'digits': 6, 'space': 0, 'other': 0}
0OyDgN57NLo0DBfdb2PUxqtn Weighting value: {'letters': 19, 'digits': 5, 'space': 0, 'other': 0}
ACwWZL7GIbExdWVdzCrTIPF   nv Weighting value: {'letters': 24, 'digits': 1, 'space': 3, 'other': 0}
EDtrbfl0KBoREcDHKgyMeuN1Zx     WaBQo6gcAzp39n Weighting value: {'letters': 35, 'digits': 5, 'space': 5, 'other': 0}
HllJSFmjH61amDVcFSJS5u7iSUa1Zx Weighting value: {'letters': 25, 'digits': 5, 'space': 0, 'other': 0}
M3PMuqF8GE   WSvzn  F Weighting value: {'letters': 14, 'digits': 2, 'space': 5, 'other': 0}
IxDpa1LT1m     pTNd Weighting value: {'letters': 12, 'digits': 2, 'space': 5, 'other': 0}
Wj8rz4qHk   mFz   OS10C9SsHJkEXVXIUMAG Weighting value: {'letters': 27, 'digits': 5, 'space': 6, 'other': 0}
2oEcTCL5RpWU3m06ppZYUMREa3TeHvAcwyW Weighting value: {'letters': 29, 'digits': 6, 'space': 0, 'other': 0}
NPfDg16gJM0h4TdNe Weighting value: {'letters': 13, 'digits': 4, 'space': 0, 'other': 0}
fsdvG   W     2PdYAcbsxX1QknJGjdfBY3 Weighting value: {'letters': 25, 'digits': 3, 'space': 8, 'other': 0}
mOofPtcILGiugW     L3 Weighting value: {'letters': 15, 'digits': 1, 'space': 5, 'other': 0}
jCqRGF8L24qcywshQoH1qlPde36LUicgcrD Weighting value: {'letters': 29, 'digits': 6, 'space': 0, 'other': 0}
5FY6j2ofu5RI9gECpsee6Jd3Wi13CR5D4s3q9am     s Weighting value: {'letters': 27, 'digits': 13, 'space': 5, 'other': 0}
9k99xFpVu6jIIJuc3eESqXltpVKFdGu27 Weighting value: {'letters': 26, 'digits': 7, 'space': 0, 'other': 0}
iva8kAB    e4URVcCcvh Weighting value: {'letters': 15, 'digits': 2, 'space': 4, 'other': 0}
8nTqRdQsgnSNFJccquKjT Weighting value: {'letters': 20, 'digits': 1, 'space': 0, 'other': 0}
Ytywf6S9KFuX4   D2olVlmFrk4J    rQgFc3JquZ Weighting value: {'letters': 29, 'digits': 6, 'space': 7, 'other': 0}
h89QJFUCdspNSXEdC0pObktcRyMK Weighting value: {'letters': 25, 'digits': 3, 'space': 0, 'other': 0}
ltk5Vs     AVcj2B1U51yM3   3j1hkTT6 Weighting value: {'letters': 18, 'digits': 9, 'space': 8, 'other': 0}
Wg1rzi7ZuCkm72o7L   Gy   ryLl2nDqzhuDHJBF6 Weighting value: {'letters': 29, 'digits': 7, 'space': 6, 'other': 0}
AhatjDd7JdvnZGwfcvaUbfk1T     ZU Weighting value: {'letters': 25, 'digits': 2, 'space': 5, 'other': 0}
7MmuSHzAOn1   D Weighting value: {'letters': 10, 'digits': 2, 'space': 3, 'other': 0}
71MZqvwtUoOZUiQaHQgqS3DxTvm1CkK Weighting value: {'letters': 27, 'digits': 4, 'space': 0, 'other': 0}
v8gxTU9Ka1fjivrBQj Weighting value: {'letters': 15, 'digits': 3, 'space': 0, 'other': 0}
j5     6D2   Keg    QaVu Weighting value: {'letters': 9, 'digits': 3, 'space': 12, 'other': 0}
7Q     N   MfL6YfyY3nygH   J Weighting value: {'letters': 14, 'digits': 3, 'space': 11, 'other': 0}
4fys2aD4pOgF9IKITu8j Weighting value: {'letters': 15, 'digits': 5, 'space': 0, 'other': 0}
PFBG3kGRqohv8w1fPXn4g6GYktltfNxGB87fecF Weighting value: {'letters': 32, 'digits': 7, 'space': 0, 'other': 0}
pr1Sh5TqLz9ygi0CxCcpm8vG2paN     n8PJliqicH7C Weighting value: {'letters': 32, 'digits': 8, 'space': 5, 'other': 0}
wR9VyWSYCMa4q9NI2   TBmRHQc6k     6XrtO Weighting value: {'letters': 25, 'digits': 6, 'space': 8, 'other': 0}
FA21NbDuypHYybcGSwygMgs3P8tYLvKtsHELtIG4EgPb Weighting value: {'letters': 39, 'digits': 5, 'space': 0, 'other': 0}
AEiNPRN68CBc7yRcgoPKg41klSxaskrbuivwIVxh Weighting value: {'letters': 35, 'digits': 5, 'space': 0, 'other': 0}
4R8Z4aaKz6f    SvwST3c4Zu6Oe7Gt9eZS Weighting value: {'letters': 22, 'digits': 9, 'space': 4, 'other': 0}
3Kw    uC     SHTuYii Weighting value: {'letters': 11, 'digits': 1, 'space': 9, 'other': 0}
6plVkRepDWp9oNFFBoBkJuEpForMt7Thw7dz0f0IvryT Weighting value: {'letters': 38, 'digits': 6, 'space': 0, 'other': 0}
dmwqaJgnfzuqjvq72kt     imhobwjerPI Weighting value: {'letters': 28, 'digits': 2, 'space': 5, 'other': 0}
4aTnKcmXQL9x5sI2LZfusCE37DY Weighting value: {'letters': 21, 'digits': 6, 'space': 0, 'other': 0}
kjJhJg2fzBMNd   WpZ8Q41qj3pG Weighting value: {'letters': 20, 'digits': 5, 'space': 3, 'other': 0}
bqwGzPVpaJHa6jEP0bPEd    uXBl6YA Weighting value: {'letters': 25, 'digits': 3, 'space': 4, 'other': 0}
0uow    lVK8eqsNpIA6CgQD Weighting value: {'letters': 17, 'digits': 3, 'space': 4, 'other': 0}
IaEjpi     I8     S2EbhnaxlCmloE  9 Weighting value: {'letters': 20, 'digits': 3, 'space': 12, 'other': 0}
gBf5wI8oDGmbmOzummKE85QyCXNuKKrbs Weighting value: {'letters': 29, 'digits': 4, 'space': 0, 'other': 0}
qfUj0F0K3mHolsFhAlam7jZpDFFF     PgrSipI Weighting value: {'letters': 31, 'digits': 4, 'space': 5, 'other': 0}
QkWU     2FghQY8HYEL Weighting value: {'letters': 13, 'digits': 2, 'space': 5, 'other': 0}
ZPDxjtvzh9DwsVbUQgkVuIHUdGivd7ThJnDTRlVWss  Q Weighting value: {'letters': 41, 'digits': 2, 'space': 2, 'other': 0}
Q8rbKwRNQg9i31VUKqk7yrBP76 Weighting value: {'letters': 19, 'digits': 7, 'space': 0, 'other': 0}
6iPgwZwISz0LCzFRuzdqaqxTbs6x2HbR Weighting value: {'letters': 28, 'digits': 4, 'space': 0, 'other': 0}
g1Dd8WoGuLKDuRuy    cgc1QM   4s Weighting value: {'letters': 20, 'digits': 4, 'space': 7, 'other': 0}
kR2Nxx7vOowhACKpNWTVja2fcyRebOpbu5spUW Weighting value: {'letters': 34, 'digits': 4, 'space': 0, 'other': 0}
wkDuQAXgqJvkCaPTPkn1HgiCAhvPClCE2 Weighting value: {'letters': 31, 'digits': 2, 'space': 0, 'other': 0}
pDQkhB2MxgB   2zrY8pFs Weighting value: {'letters': 16, 'digits': 3, 'space': 3, 'other': 0}
hwgp3hv9em     1BlVAd9whO9qTr9s3BDdlBLxHhUze4 Weighting value: {'letters': 32, 'digits': 8, 'space': 5, 'other': 0}
J4EdtErKI76HJJ8v    sLr Weighting value: {'letters': 15, 'digits': 4, 'space': 4, 'other': 0}
P20n     WLfHJpdEcDpdoK Weighting value: {'letters': 16, 'digits': 2, 'space': 5, 'other': 0}
f86sfGsz   FN4Qg     I Weighting value: {'letters': 11, 'digits': 3, 'space': 8, 'other': 0}
IgHckfIQFAfnR     17X Weighting value: {'letters': 14, 'digits': 2, 'space': 5, 'other': 0}
jkxjR   mOApK   OjALmlF4nsFUZ6v Weighting value: {'letters': 23, 'digits': 2, 'space': 6, 'other': 0}
K3XkI    zAwtwy1Bc4znD    v    Z6gPzwsB02I Weighting value: {'letters': 24, 'digits': 6, 'space': 12, 'other': 0}
2UswHSrHW79r0vTKFAEAtuC    YoJy8UQL    u Weighting value: {'letters': 27, 'digits': 5, 'space': 8, 'other': 0}
uXUwRtVqps5wSnJG6nl0   IsqXpkBC Weighting value: {'letters': 25, 'digits': 3, 'space': 3, 'other': 0}
04MqL4tsBt89zXJpWTJnUGYbcr   LNWH08     jeolh Weighting value: {'letters': 30, 'digits': 7, 'space': 8, 'other': 0}
NMHom0CwIac7f     UubsaFhN31mqu5e9WJ3tMriq Weighting value: {'letters': 30, 'digits': 7, 'space': 5, 'other': 0}
IXJXPcfhL3hVy8JJ6aHeRJbeHdM7Zdpl     QYzv Weighting value: {'letters': 32, 'digits': 4, 'space': 5, 'other': 0}
ACmLsAAqtFKQidIcF0oZ    9kcbaxLFwhov1 Weighting value: {'letters': 30, 'digits': 3, 'space': 4, 'other': 0}
Hm8rd7GV   V0zs1 Weighting value: {'letters': 9, 'digits': 4, 'space': 3, 'other': 0}
GriGyfUCs8wKSUp     qjap2kv1    WoI   v7PCK2I Weighting value: {'letters': 28, 'digits': 5, 'space': 12, 'other': 0}
igPfl33Jai0Dbw1yGQ7elcnm2Yjn7    rrU Weighting value: {'letters': 25, 'digits': 7, 'space': 4, 'other': 0}
wK    93tBawOSamKd     6VAY Weighting value: {'letters': 15, 'digits': 3, 'space': 9, 'other': 0}
EW6at3b4m     8V Weighting value: {'letters': 7, 'digits': 4, 'space': 5, 'other': 0}
nLqiWTNUDEqAlDN5Fd1cPpmtS1U1KFcxGvyz0 Weighting value: {'letters': 32, 'digits': 5, 'space': 0, 'other': 0}
vSJYB    kExlfQ     J21l9AC1gGeUy    fG Weighting value: {'letters': 22, 'digits': 4, 'space': 13, 'other': 0}
UPf    UtDdqYLzP Weighting value: {'letters': 12, 'digits': 0, 'space': 4, 'other': 0}
xeU8     H    fTBpl Weighting value: {'letters': 9, 'digits': 1, 'space': 9, 'other': 0}
rCQyWIAqHLeNUk2Sm2Da7ZbrjF8uUqK0fAly     yWCt Weighting value: {'letters': 35, 'digits': 5, 'space': 5, 'other': 0}
lkSY2y8HhAsZyI     pghcrNDczZuCUtuNUyDIdpip Weighting value: {'letters': 36, 'digits': 2, 'space': 5, 'other': 0}
uEXgoFJqmfPLihfi211e3r Weighting value: {'letters': 18, 'digits': 4, 'space': 0, 'other': 0}
Zj9kpJoNKYxArDH06 Weighting value: {'letters': 14, 'digits': 3, 'space': 0, 'other': 0}
bqUmp23DAppA2Z6upvutqLlat7G6zMTENGKLMhqe Weighting value: {'letters': 34, 'digits': 6, 'space': 0, 'other': 0}
LZVDKf55r5TvWuX    htPzn6CIuHleEBHdb77PyuDeTv Weighting value: {'letters': 35, 'digits': 6, 'space': 4, 'other': 0}
eefDKROAkIqVD   RxaOIm   NUBtKgMat6j6ZjRHfYpp Weighting value: {'letters': 37, 'digits': 2, 'space': 6, 'other': 0}
QB6p7pElUQ2FiYP5s0 Weighting value: {'letters': 13, 'digits': 5, 'space': 0, 'other': 0}
mFmcgY6dISszoxFxe     OVgw    j2F84JoQn Weighting value: {'letters': 26, 'digits': 4, 'space': 9, 'other': 0}
c1dz9JU52   ceHu Weighting value: {'letters': 9, 'digits': 4, 'space': 3, 'other': 0}
Q8yyWdeDUl4ewWAY Weighting value: {'letters': 14, 'digits': 2, 'space': 0, 'other': 0}
lSKJnoqnqwQrNZwIVame8rq2S3V5NFfm Weighting value: {'letters': 28, 'digits': 4, 'space': 0, 'other': 0}
Lqu2J8GLx81qbmTanb2RQiiR Weighting value: {'letters': 19, 'digits': 5, 'space': 0, 'other': 0}
hJLAAz5QhwB1a    TgV0vLhYHpwmqKoA0qU8IoDq Weighting value: {'letters': 32, 'digits': 5, 'space': 4, 'other': 0}
IZFMMq9    j6z   qUv   4TRq Weighting value: {'letters': 14, 'digits': 3, 'space': 10, 'other': 0}
BBbs3jM66bmDwU3oaYHMMWUK9RqNK3oL  t Weighting value: {'letters': 27, 'digits': 6, 'space': 2, 'other': 0}
15caz     QCJpJ Weighting value: {'letters': 8, 'digits': 2, 'space': 5, 'other': 0}
9lWtysLs26ufQMwVaPNmEMX7La    nStYd   4JID5B Weighting value: {'letters': 31, 'digits': 6, 'space': 7, 'other': 0}
3lVbtZ1nGI6byUzAROloWftdXC6bpCg34BqG   03 Weighting value: {'letters': 30, 'digits': 8, 'space': 3, 'other': 0}
WNNx    ISiuZy8Dnm    fSZ29KJQOSW Weighting value: {'letters': 22, 'digits': 3, 'space': 8, 'other': 0}
FUSQ5SNY80eT1qaX0Uhp9cYrOMho3wZOu35cOuUvNz Weighting value: {'letters': 33, 'digits': 9, 'space': 0, 'other': 0}
LH0ihbhGDyS7     hQ0k   hfvr5Bo6gN7wW4LBn0HXE Weighting value: {'letters': 29, 'digits': 8, 'space': 8, 'other': 0}
E3uPsKF5paLs    xyl    wpbqbgNY5 Weighting value: {'letters': 21, 'digits': 3, 'space': 8, 'other': 0}
BCOO1DV     b8Qb     eTPx Weighting value: {'letters': 13, 'digits': 2, 'space': 10, 'other': 0}
oW6SwE    KRkP Weighting value: {'letters': 9, 'digits': 1, 'space': 4, 'other': 0}
OeIKTLl9dK5IrUK4G     BUEAMwYc9wUs Weighting value: {'letters': 25, 'digits': 4, 'space': 5, 'other': 0}
It    mz3FYF     FmzoA   5SiTXMwU2 Weighting value: {'letters': 19, 'digits': 3, 'space': 12, 'other': 0}
KeDz9t     LSuE34h6MdU    pr   14q2c6BEQ Weighting value: {'letters': 20, 'digits': 8, 'space': 12, 'other': 0}
ni7jxHwKpdL6eWjHxE    Qfdf7QPYoNiitxEZ Weighting value: {'letters': 31, 'digits': 3, 'space': 4, 'other': 0}
PjWi1pCln0vlrf1     mD8pQDuI     0Rp Weighting value: {'letters': 21, 'digits': 5, 'space': 10, 'other': 0}
8ZQI    s6C4OSbm9ekFD     zG15EBP87a9Zo2DISEJ Weighting value: {'letters': 26, 'digits': 10, 'space': 9, 'other': 0}
qVUbm   f     xJcab Weighting value: {'letters': 11, 'digits': 0, 'space': 8, 'other': 0}
fivyVG8Sd4bqQenJcu5u8tXH6f7fWGdecQBSzZdRR9i Weighting value: {'letters': 36, 'digits': 7, 'space': 0, 'other': 0}
v5Y0qq75WfXNnbHhjgXwYTD1 Weighting value: {'letters': 19, 'digits': 5, 'space': 0, 'other': 0}
rdSuXX     nl8g    mGDH Weighting value: {'letters': 13, 'digits': 1, 'space': 9, 'other': 0}
QZOwDuCIP8uDf3vsdD3G Weighting value: {'letters': 17, 'digits': 3, 'space': 0, 'other': 0}
vpw2aUzwC   LcNGG4qVW    LIt3XZPo9vSy4gJ0MXh Weighting value: {'letters': 31, 'digits': 6, 'space': 7, 'other': 0}
uyT0RYZoOuws Weighting value: {'letters': 11, 'digits': 1, 'space': 0, 'other': 0}
BJxkfH   GjPhYdhAqtGsdGEl8butAGHQlzbinx3h Weighting value: {'letters': 36, 'digits': 2, 'space': 3, 'other': 0}
tzG1Nk    fwormsi     cBtVpne2 Weighting value: {'letters': 19, 'digits': 2, 'space': 9, 'other': 0}
CRfJJ     ILPLa75oNal2xiYUP7c8Fwm Weighting value: {'letters': 23, 'digits': 5, 'space': 5, 'other': 0}
ZQcGmkkrqavaV3RlI59LmS9t Weighting value: {'letters': 20, 'digits': 4, 'space': 0, 'other': 0}
jUOsQiC3tuC4hFWhlQ Weighting value: {'letters': 16, 'digits': 2, 'space': 0, 'other': 0}
0sTiC8lEis6EuKDCgxyp   YXGWkJ Weighting value: {'letters': 23, 'digits': 3, 'space': 3, 'other': 0}
lU1vomBRcIbROjdrsPdhWFypboDoJfDL7bd9nwf5Llf Weighting value: {'letters': 39, 'digits': 4, 'space': 0, 'other': 0}
DwCs    TO4vUUI2QNm8   VfvENU Weighting value: {'letters': 19, 'digits': 3, 'space': 7, 'other': 0}
vOAVNP1Kd14va    uYF    wy Weighting value: {'letters': 15, 'digits': 3, 'space': 8, 'other': 0}
CPC1LBC9BWzLzPz5rI1oxct8BTLAYD0TBD4TAXl Weighting value: {'letters': 32, 'digits': 7, 'space': 0, 'other': 0}
jBAG5bjJlTI5hn    m    B0nUR   bcOE8iwPVUdPs Weighting value: {'letters': 29, 'digits': 4, 'space': 11, 'other': 0}
F0iREFz4TLgHZNw70P7VK Weighting value: {'letters': 16, 'digits': 5, 'space': 0, 'other': 0}
Yz   cnJ   BbjfpaBvZzLfQT9YaCLO Weighting value: {'letters': 24, 'digits': 1, 'space': 6, 'other': 0}
vShW    lU7PVabEDkydxlCuAzz6N Weighting value: {'letters': 23, 'digits': 2, 'space': 4, 'other': 0}
QyNrwyER9PY7qGxCg0HfdjAuaxcNGB Weighting value: {'letters': 27, 'digits': 3, 'space': 0, 'other': 0}
rCmI3WHv2ydYYDc3f   PcqdqNLeB Weighting value: {'letters': 23, 'digits': 3, 'space': 3, 'other': 0}
lORlOSVJimGXrhy63250zykqxI3OtXG14 Weighting value: {'letters': 25, 'digits': 8, 'space': 0, 'other': 0}
Ar25wIc    l8sEeE4uRFRTxmKUC    0MmlZ Weighting value: {'letters': 24, 'digits': 5, 'space': 8, 'other': 0}
jrRrVboG5dhyM4AAVOG     9c Weighting value: {'letters': 18, 'digits': 3, 'space': 5, 'other': 0}
YYZq0Wfn97StKTgpxu6pkJIauLQg3wFVGwRyRNWt8Oh Weighting value: {'letters': 37, 'digits': 6, 'space': 0, 'other': 0}
32u2    366ydF Weighting value: {'letters': 4, 'digits': 6, 'space': 4, 'other': 0}
42xYarIVo3WNCBpQ15bfirkwESCj9Ux05baw39f Weighting value: {'letters': 29, 'digits': 10, 'space': 0, 'other': 0}
60IV7v6IqQXXIhmG    yCRzNzfaVg     LE0J0AmoI Weighting value: {'letters': 29, 'digits': 6, 'space': 9, 'other': 0}
wrd   voFpujxim Weighting value: {'letters': 12, 'digits': 0, 'space': 3, 'other': 0}
Iq     G   AbhUlNM Weighting value: {'letters': 10, 'digits': 0, 'space': 8, 'other': 0}
LUwS1KNlSP2Wi   AIBwyQBsR2in8oqpsNIdTs0ktnOHJ Weighting value: {'letters': 37, 'digits': 5, 'space': 3, 'other': 0}
Z3lVFKSt0n1Zzchp5iZWmsBuIvGc8Wm1Ot8exr Weighting value: {'letters': 31, 'digits': 7, 'space': 0, 'other': 0}
FEHqNB584vg    Mz4     O Weighting value: {'letters': 11, 'digits': 4, 'space': 9, 'other': 0}
Vg9AOVwRxjEflUHuU5gH1aHd0FkaLESJ Weighting value: {'letters': 28, 'digits': 4, 'space': 0, 'other': 0}
Fj   A   7sIQCiB8SD Weighting value: {'letters': 11, 'digits': 2, 'space': 6, 'other': 0}
xL36TeUz9xFfcU    FLm9SG Weighting value: {'letters': 16, 'digits': 4, 'space': 4, 'other': 0}
lj6it9LxvQYj56X41lSBaTayXsUiqZUz2VsfSd Weighting value: {'letters': 31, 'digits': 7, 'space': 0, 'other': 0}
cZoAR1n     pbP   yNolgxn1j48SD Weighting value: {'letters': 19, 'digits': 4, 'space': 8, 'other': 0}
zjYbwCMq7G8UGVwt112ts    LKY     vw Weighting value: {'letters': 21, 'digits': 5, 'space': 9, 'other': 0}
kk    xrfdC     mJevC Weighting value: {'letters': 12, 'digits': 0, 'space': 9, 'other': 0}
bIIKYXOJWrQN     Cg8q1sLg Weighting value: {'letters': 18, 'digits': 2, 'space': 5, 'other': 0}
Cv7pQnXcHoA3XjffCKPYidnfycgqNaF Weighting value: {'letters': 29, 'digits': 2, 'space': 0, 'other': 0}
VL9J     X   THTdlLhyy3gd Weighting value: {'letters': 15, 'digits': 2, 'space': 8, 'other': 0}
bxwVmP0ug0yUcjrcTHzwAhMA Weighting value: {'letters': 22, 'digits': 2, 'space': 0, 'other': 0}
QcsCtuGpQmhgw03b Weighting value: {'letters': 14, 'digits': 2, 'space': 0, 'other': 0}
60o0coKEaZB93   yTnOqCTdEBvUEWRPDJHHx Weighting value: {'letters': 29, 'digits': 5, 'space': 3, 'other': 0}
lkozflkpYKC5Kt5I Weighting value: {'letters': 14, 'digits': 2, 'space': 0, 'other': 0}
1HHLzfttkOAeySfTqAzZ5G Weighting value: {'letters': 20, 'digits': 2, 'space': 0, 'other': 0}
GMjniT46w6mDoKmYAYbqQkyAhrPbz4Na1Ty Weighting value: {'letters': 30, 'digits': 5, 'space': 0, 'other': 0}
S4E1muuHGeR5X8 Weighting value: {'letters': 10, 'digits': 4, 'space': 0, 'other': 0}
Vb6B15xj67IYC5gJx7MMF83RbEDyvfxxkjhE7UvNG Weighting value: {'letters': 31, 'digits': 10, 'space': 0, 'other': 0}
qS0B7JGPnGx    ej6FTiGOvAH4R9emVqmy     FuiPv Weighting value: {'letters': 31, 'digits': 5, 'space': 9, 'other': 0}
kh8U   CslcP5    VUht80IwLbGmrl Weighting value: {'letters': 20, 'digits': 4, 'space': 7, 'other': 0}
0LURQja1jPnM9fY4Dv029ToL    VyeDGTEojNZR    R Weighting value: {'letters': 30, 'digits': 7, 'space': 8, 'other': 0}
fICGGLp084yunDacB Weighting value: {'letters': 14, 'digits': 3, 'space': 0, 'other': 0}
UXE4MTwXvP3VddPOIg Weighting value: {'letters': 16, 'digits': 2, 'space': 0, 'other': 0}
tpjZ9nKlfFsT9j Weighting value: {'letters': 12, 'digits': 2, 'space': 0, 'other': 0}
Mb6qTcbBWRIrris0k8hasZoQVGgIyb    XDu9T1n0WVX Weighting value: {'letters': 35, 'digits': 6, 'space': 4, 'other': 0}
LkZs9AObymW2FWgeFAjL6   HxDZQqr0WT42XBnx Weighting value: {'letters': 31, 'digits': 6, 'space': 3, 'other': 0}
qjX2   t1wR     fZKXNaZulSl Weighting value: {'letters': 17, 'digits': 2, 'space': 8, 'other': 0}
